"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000163630",63.5877465016896,-3.34534460326144,0.633545296665365,-5.28035583385986,1.28933239947929e-07,5.48833762554073e-06,"SYNPR","132204"
"ENSG00000011590",135.484422649468,-2.63284756018306,0.499153935256515,-5.27462046118106,1.33031113389537e-07,5.64787092714053e-06,"ZBTB32","27033"
"ENSG00000229228",10.0527967125803,-3.54708565059686,0.673271241379829,-5.26843481882179,1.37591880985631e-07,5.82158043626291e-06,"LINC00582","100287814"
"ENSG00000253686",25.0797429214634,-3.11181480635216,0.590789836200518,-5.26721113952271,1.3851186732601e-07,5.84976951720032e-06,"LINC01484","101928136"
"ENSG00000226025",56.4052960859066,-3.8159225997583,0.72557871116345,-5.25914355127585,1.44727877898267e-07,6.10430027224246e-06,"LGALS17A","400696"
"ENSG00000142583",245.923473431931,-2.64482327602344,0.502992347595239,-5.25817795970077,1.45489693637795e-07,6.12842095942181e-06,"SLC2A5","6518"
"ENSG00000124557",16.1903494378182,-2.99711560656687,0.570189203728011,-5.25635278074564,1.46940299574075e-07,6.18145463631957e-06,"BTN1A1","696"
"ENSG00000120659",43.4579721322688,-5.09908278703098,0.971069943383103,-5.25099435089745,1.51280320001935e-07,6.34747829022424e-06,"TNFSF11","8600"
"ENSG00000060140",32.4820981817083,-2.49066782416152,0.47450375509858,-5.24899497084924,1.52931250086405e-07,6.40841521465967e-06,"STYK1","55359"
"ENSG00000138623",426.673769856736,-2.17193915839382,0.413908465379466,-5.24739003925085,1.54269069395308e-07,6.45609052283917e-06,"SEMA7A","8482"
"ENSG00000105011",107.442368950868,-2.19568591521978,0.419011130248581,-5.24016131484901,1.60436287178749e-07,6.67953192530259e-06,"ASF1B","55723"
"ENSG00000026559",39.5749527372633,-2.46993295558683,0.472803506387603,-5.22401573215488,1.75083894431397e-07,7.23336355662413e-06,"KCNG1","3755"
"ENSG00000110876",665.353870422588,-2.09617115304265,0.401957134748041,-5.21491216807632,1.83904352936702e-07,7.56869623961176e-06,"SELPLG","6404"
"ENSG00000205436",152.665433924525,-2.94559266812752,0.564994591933268,-5.21348825313257,1.85322270910802e-07,7.61733553274894e-06,"EXOC3L4","91828"
"ENSG00000218018",17.3369590759323,-2.29143376444713,0.441004337184355,-5.19594382920827,2.03683758717003e-07,8.31906349210482e-06,"LOC100291105","100291105"
"ENSG00000158485",9.84310922660281,-4.25159417134673,0.818965081667064,-5.19142301243454,2.08692878792818e-07,8.51287538195835e-06,"CD1B","910"
"ENSG00000151790",33.1220592852222,-3.62806624691163,0.700679295346507,-5.17792700741562,2.24364975480509e-07,9.14060643794709e-06,"TDO2","6999"
"ENSG00000250155",11.6842109957966,-3.1027227060418,0.599264826492896,-5.17754850422309,2.24820504640827e-07,9.14761463145134e-06,"LOC107986412","107986412"
"ENSG00000180549",69.0716346519639,-2.54141769831368,0.491874155330995,-5.16680470150641,2.38129853973069e-07,9.66477719282393e-06,"FUT7","2529"
"ENSG00000115956",1084.21916927754,-2.19567930061731,0.425031931680933,-5.16591610407657,2.3926410116511e-07,9.68644352345474e-06,"PLEK","5341"
"ENSG00000118193",44.2139998517132,-2.21418903523206,0.429897458225321,-5.15050506316681,2.59785918404318e-07,1.0438670539519e-05,"KIF14","9928"
"ENSG00000197299",143.603136180652,-2.03784989334528,0.396014212229637,-5.14590090560585,2.66239946588524e-07,1.06714262318327e-05,"BLM","641"
"ENSG00000174371",36.9472269963847,-2.04406827186008,0.398694304176134,-5.12690612945666,2.94542278781246e-07,1.16753085591593e-05,"EXO1","9156"
"ENSG00000106952",151.550825950503,-2.80466140676578,0.548903153740329,-5.10957422571593,3.22885623324678e-07,1.27206685252675e-05,"TNFSF8","944"
"ENSG00000245466",17.39438695357,-3.45629422263969,0.677922169419186,-5.09836435294761,3.42600903855901e-07,1.339922516826e-05,"LOC101928075","101928075"
"ENSG00000117724",179.322505950966,-2.09072693109311,0.410184519655163,-5.09704006589706,3.45005330233652e-07,1.34769273430012e-05,"CENPF","1063"
"ENSG00000160791",277.004542649877,-2.12716604829265,0.419777050885478,-5.06737098611181,4.0334769898254e-07,1.55488851318646e-05,"CCR5","1234"
"ENSG00000216863",9.3281444740681,-4.38281925511317,0.869691700524654,-5.03950911854071,4.66727393112457e-07,1.78007400309297e-05,"LY86-AS1","285780"
"ENSG00000185527",32.6489694236432,-2.25094513840717,0.447831020541821,-5.02632697414261,4.99963157738497e-07,1.89118537486405e-05,"PDE6G","5148"
"ENSG00000251301",60.405048954508,-3.07096477120649,0.612013287278623,-5.01780735000351,5.22645469232248e-07,1.97236008306991e-05,"LINC02384","100507195"
