"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000183918",263.348455367076,-2.09100049190868,0.543816545249234,-3.84504758116612,0.000120529048792274,0.0162609647288426,"SH2D1A","4068"
"ENSG00000255760",66.5571800896916,-4.17628166770992,1.08660193604568,-3.84343293451886,0.000121325165076178,0.0162939696697307,"LINC02422","105369723"
"ENSG00000269404",416.451599061944,-2.45361154393984,0.642628688574964,-3.81808591424817,0.000134491092682306,0.0177396152874617,"SPIB","6689"
"ENSG00000171903",519.644844591585,-2.20043398257252,0.579614455260139,-3.79637526739206,0.000146827185442063,0.0190270000924175,"CYP4F11","57834"
"ENSG00000234184",32.1434462185211,-4.48293378664385,1.18338360157699,-3.78823382432359,0.000151722024733532,0.0195754538985893,"LINC01781","101927412"
"ENSG00000178562",397.877791683495,-2.24282005067739,0.59570766715037,-3.76496757445839,0.000166570696607512,0.0212133525946791,"CD28","940"
"ENSG00000136931",7.75417770324066,2.97787860618977,0.798804591458201,3.72791874011855,0.000193067604320242,0.0241710823612113,"NR5A1","2516"
"ENSG00000158477",22.991171944041,-3.95324626315782,1.06923297804758,-3.69727303994725,0.000217927908680695,0.0268287416244992,"CD1A","909"
"ENSG00000137673",23.6046008420043,-2.89249649844238,0.783756796867443,-3.69055363858183,0.000223766496196162,0.0273198549446769,"MMP7","4316"
"ENSG00000135248",11.8022991999473,2.5700722342081,0.697820022555394,3.68300156363611,0.000230503745074673,0.0279117362785914,"FAM71F1","84691"
"ENSG00000102970",22.7735621011934,-3.33371091892628,0.913154389421146,-3.65076372357968,0.000261461686386396,0.0314030365283433,"CCL17","6361"
"ENSG00000049249",22.635542612795,-2.35051946904406,0.64653909500389,-3.63554112536678,0.000277397733732106,0.0329156363086298,"TNFRSF9","3604"
"ENSG00000249923",7.03226332082295,2.02827445946481,0.560596398487132,3.61806544768833,0.000296813348014726,0.0349941833993357,"LOC284865","284865"
"ENSG00000255733",55.4444652536089,-2.67581448801428,0.754350037508399,-3.54717883603802,0.000389380178458719,0.0440790297039897,"IFNG-AS1","100885789"
"ENSG00000185972",11.6149305028017,2.40122857696459,0.681255161899288,3.52471248844581,0.000423942651054605,0.0474462483638612,"CCIN","881"
"ENSG00000163599",420.699264108112,-2.18794318688131,0.627642754296375,-3.48596900371155,0.000490357819102886,0.0542625922217748,"CTLA4","1493"
"ENSG00000254211",7.6119649204466,-2.542080247167,0.732292737562499,-3.47139895942235,0.0005177541379253,0.0564485747569775,"LINC01485","101928154"
"ENSG00000078589",193.962411385419,-2.03911098077308,0.588354121570846,-3.46578855490782,0.000528678877364069,0.0568012585839956,"P2RY10","27334"
"ENSG00000234572",10.7252473204256,-3.90787656559899,1.13500363906107,-3.44305201420481,0.000575188675518323,0.0604373003292602,"LINC01800","101927438"
"ENSG00000163508",258.498363544309,-2.00595344043862,0.583807748557825,-3.43598289915458,0.000590408238091776,0.0609937125967119,"EOMES","8320"
"ENSG00000169245",334.619691482845,-2.55718205986595,0.746216386572485,-3.42686398460315,0.00061059483000764,0.0628593548690095,"CXCL10","3627"
"ENSG00000159556",10.1496563298853,-2.89914410028791,0.852702138418924,-3.39994937231364,0.000673983310903998,0.0681172872776813,"ISL2","64843"
"ENSG00000256574",14.461796348326,-3.46930051100575,1.02245018461498,-3.39312424527771,0.000691002886448875,0.069443439738158,"OR13A1","79290"
"ENSG00000231439",54.8682390439828,2.2760395847886,0.680750244888914,3.34342822771956,0.000827500963917011,0.080425471973329,"WASIR2","100132169"
"ENSG00000144460",7.44473246574562,-3.25174445818313,0.97598774016729,-3.33174723857265,0.000863026021447688,0.0824485214501853,"NYAP2","57624"
"ENSG00000100721",310.882980433953,-3.08002645309462,0.932884803256468,-3.30161499291554,0.000961299213872877,0.0893161841921007,"TCL1A","8115"
"ENSG00000204595",1.65358645195966,3.59351380996582,1.09121796647114,3.29312192465709,0.000990814979647978,0.0917699667356713,"DPRX","503834"
"ENSG00000185155",28.4294093552513,-2.44323802645042,0.748112619494255,-3.26586928596675,0.00109128610886886,0.099074850757053,"MIXL1","83881"
