"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","28/547","139/18670",5.1638026002467e-16,4.63479971164365e-14,3.81215462137511e-14
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","27/547","130/18670",7.71068195865179e-16,6.77031400673795e-14,5.56862980812473e-14
"GO:0031295","GO:0031295","T cell costimulation","19/547","56/18670",8.44887264284322e-16,7.26063757541356e-14,5.97192431373196e-14
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","27/547","131/18670",9.45092375035101e-16,7.95255854743078e-14,6.54103406932188e-14
"GO:0031294","GO:0031294","lymphocyte costimulation","19/547","57/18670",1.23327460247924e-15,1.01657063661503e-13,8.36136336288823e-14
"GO:0002683","GO:0002683","negative regulation of immune system process","50/547","463/18670",1.4936040993429e-15,1.2065333914492e-13,9.92382007900253e-14
"GO:0042100","GO:0042100","B cell proliferation","23/547","95/18670",3.16629522650644e-15,2.50758165095285e-13,2.06250314444878e-13
"GO:0033077","GO:0033077","T cell differentiation in thymus","20/547","70/18670",6.39192710620698e-15,4.96480645807115e-13,4.08358743870227e-13
"GO:0032609","GO:0032609","interferon-gamma production","24/547","113/18670",1.8672389618378e-14,1.42297701261564e-12,1.17040837409337e-12
"GO:0002819","GO:0002819","regulation of adaptive immune response","28/547","160/18670",2.25002011726797e-14,1.68293171363803e-12,1.38422290255316e-12
"GO:0031341","GO:0031341","regulation of cell killing","22/547","98/18670",6.87653203130336e-14,5.04987506807896e-12,4.15355695517577e-12
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","25/547","133/18670",1.03612101843921e-13,7.47302284549281e-12,6.14661265825968e-12
"GO:0072676","GO:0072676","lymphocyte migration","23/547","111/18670",1.15268119404314e-13,8.1678584960355e-12,6.71811975697164e-12
"GO:0050852","GO:0050852","T cell receptor signaling pathway","30/547","202/18670",2.39990106857833e-13,1.67124145103239e-11,1.37460758120385e-11
"GO:0043367","GO:0043367","CD4-positive, alpha-beta T cell differentiation","19/547","74/18670",2.6100032398492e-13,1.78674628572049e-11,1.4696111016885e-11
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","22/547","107/18670",4.6843898724273e-13,3.15337511578898e-11,2.59367270831238e-11
"GO:0031343","GO:0031343","positive regulation of cell killing","18/547","68/18670",6.28034389389182e-13,4.1584113094146e-11,3.4203218859573e-11
"GO:0001910","GO:0001910","regulation of leukocyte mediated cytotoxicity","19/547","78/18670",7.33606166155638e-13,4.77908920177842e-11,3.93083371882376e-11
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","25/547","145/18670",8.0002907418432e-13,5.12907528671503e-11,4.21869967940804e-11
