"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0001819","GO:0001819","positive regulation of cytokine production","33/409","464/18670",3.15227147248181e-09,2.62049698060227e-07,2.2311157126742e-07
"GO:0050853","GO:0050853","B cell receptor signaling pathway","17/409","129/18670",3.33157297605819e-09,2.71062448094607e-07,2.30785111197044e-07
"GO:0140014","GO:0140014","mitotic nuclear division","24/409","264/18670",4.45325098401761e-09,3.54775661726736e-07,3.020593266133e-07
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","18/409","149/18670",4.73392873334513e-09,3.69439662781873e-07,3.14544394677476e-07
"GO:0050900","GO:0050900","leukocyte migration","34/409","499/18670",5.35534897028099e-09,4.0957708924709e-07,3.48717776106928e-07
"GO:0045580","GO:0045580","regulation of T cell differentiation","17/409","139/18670",1.05425638293153e-08,7.90485570260815e-07,6.73026830218206e-07
"GO:0042108","GO:0042108","positive regulation of cytokine biosynthetic process","12/409","67/18670",2.10293073684996e-08,1.54646291109889e-06,1.31667303017752e-06
"GO:0032609","GO:0032609","interferon-gamma production","15/409","113/18670",2.54831937037717e-08,1.83863646647591e-06,1.56543233616218e-06
"GO:0000280","GO:0000280","nuclear division","29/409","407/18670",2.81785137403853e-08,1.9954562322821e-06,1.69895015592615e-06
"GO:0002697","GO:0002697","regulation of immune effector process","31/409","458/18670",3.02770380460757e-08,2.10507988160352e-06,1.79228475935909e-06
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","17/409","151/18670",3.68713710149779e-08,2.49960891968381e-06,2.12819048353392e-06
"GO:0000819","GO:0000819","sister chromatid segregation","19/409","189/18670",3.72588149639061e-08,2.49960891968381e-06,2.12819048353392e-06
"GO:0002683","GO:0002683","negative regulation of immune system process","31/409","463/18670",3.87895719740863e-08,2.55743660739493e-06,2.1774255193439e-06
"GO:0043367","GO:0043367","CD4-positive, alpha-beta T cell differentiation","12/409","74/18670",6.7017293062902e-08,4.34362929953453e-06,3.69820673405095e-06
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity","14/409","105/18670",7.04674928392927e-08,4.49112821029092e-06,3.82378869038478e-06
"GO:0002819","GO:0002819","regulation of adaptive immune response","17/409","160/18670",8.70365936827029e-08,5.45619564332223e-06,4.64545615635203e-06
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","11/409","62/18670",9.08955830955335e-08,5.60620499608581e-06,4.77317552656172e-06
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","19/409","201/18670",9.99660906770884e-08,6.06778302776486e-06,5.16616739288612e-06
"GO:0030595","GO:0030595","leukocyte chemotaxis","20/409","224/18670",1.18271004505502e-07,7.06669251920372e-06,6.01664830486047e-06
"GO:0050854","GO:0050854","regulation of antigen receptor-mediated signaling pathway","11/409","65/18670",1.50908109541436e-07,8.87804016748388e-06,7.55884668520911e-06
"GO:0048285","GO:0048285","organelle fission","29/409","449/18670",2.30701891848075e-07,1.33667277943491e-05,1.13805574399697e-05
"GO:0002699","GO:0002699","positive regulation of immune effector process","19/409","216/18670",3.09452934007966e-07,1.7661910740992e-05,1.5037516494684e-05
